149029712	2735797	384461	7334	1156	28576	37065	1017295	
114808692	4017987	1491686	6238	2074	74365	82677	2261046	
51601103	3440636	2113974	3585	2287	97445	103317	2977915	
19228267	1548395	1195973	1604	1247	56453	59304	1783442	
11311853	505060	430167	833	500	23096	24429	772054	
9426648	149950	133915	590	223	9897	10711	381336	
9150079	43842	39589	521	128	5235	5885	240337	
8927266	12172	11295	481	85	3068	3634	166770	
